length,M,U,magnetization,energy
1,3,1.1,2.14302,-29.9954
2,3,1.1,2.50929,-66.3038
3,3,1.1,2.78559,-102.197
4,3,1.1,2.99419,-137.996
5,3,1.1,3.16178,-173.769
6,3,1.1,3.26901,-209.532
7,3,1.1,3.34617,-245.292
8,3,1.1,3.39004,-281.051
9,3,1.1,3.42059,-316.81
10,3,1.1,3.43713,-352.569
11,3,1.1,3.44817,-388.327
12,3,1.1,3.45307,-424.086
13,3,1.1,3.45822,-459.844
14,3,1.1,3.4582,-495.603
15,3,1.1,3.46175,-531.361
16,3,1.1,3.46069,-567.12
1,3,1.2,2.17432,-28.2056
2,3,1.2,2.60205,-62.6113
3,3,1.2,2.93555,-96.6113
4,3,1.2,3.17367,-130.52
5,3,1.2,3.36621,-164.402
6,3,1.2,3.48984,-198.276
7,3,1.2,3.57695,-232.146
8,3,1.2,3.62815,-266.016
9,3,1.2,3.66043,-299.884
10,3,1.2,3.68055,-333.753
11,3,1.2,3.6936,-367.622
12,3,1.2,3.7005,-401.49
13,3,1.2,3.70441,-435.359
14,3,1.2,3.70564,-469.227
15,3,1.2,3.70975,-503.096
16,3,1.2,3.70808,-536.965
1,1,1.2,0.000362803,-29.467
2,1,1.2,0.00154544,-62.8502
3,1,1.2,1.55651,-96.5528
4,1,1.2,3.05238,-130.506
5,1,1.2,3.48483,-164.4
6,1,1.2,3.63138,-198.276
7,1,1.2,3.68277,-232.147
8,1,1.2,3.70084,-266.016
9,1,1.2,3.70774,-299.884
10,1,1.2,3.70827,-333.753
11,1,1.2,3.71131,-367.622
12,1,1.2,3.70983,-401.49
13,1,1.2,3.70926,-435.359
14,1,1.2,3.70794,-469.227
15,1,1.2,3.71133,-503.096
16,1,1.2,3.71141,-536.965
1,1,1.4,0.000814937,-25.687
2,1,1.4,0.00570069,-55.2902
3,1,1.4,2.90357,-85.4551
4,1,1.4,3.82193,-115.615
5,1,1.4,4.15007,-145.721
6,1,1.4,4.2682,-175.813
7,1,1.4,4.31085,-205.902
8,1,1.4,4.325,-235.991
9,1,1.4,4.33429,-266.079
10,1,1.4,4.33168,-296.168
11,1,1.4,4.33612,-326.256
12,1,1.4,4.33557,-356.345
13,1,1.4,4.33336,-386.433
14,1,1.4,4.33386,-416.522
15,1,1.4,4.3373,-446.611
16,1,1.4,4.33761,-476.699
1,3,1.4,2.24074,-24.6406
2,3,1.4,2.81818,-55.2548
3,3,1.4,3.29309,-85.476
4,3,1.4,3.60949,-115.608
5,3,1.4,3.87275,-145.713
6,3,1.4,4.03444,-175.809
7,3,1.4,4.15377,-205.9
8,3,1.4,4.22213,-235.99
9,3,1.4,4.26689,-266.079
10,3,1.4,4.2934,-296.167
11,3,1.4,4.31089,-326.256
12,3,1.4,4.31829,-356.345
13,3,1.4,4.32447,-386.433
14,3,1.4,4.33024,-416.522
15,3,1.4,4.33137,-446.61
16,3,1.4,4.33417,-476.699
1,3,1.5,2.276,-22.866
2,3,1.5,2.94592,-51.5952
3,3,1.5,3.50895,-79.9327
4,3,1.5,3.88148,-108.18
5,3,1.5,4.18973,-136.399
6,3,1.5,4.38335,-164.606
7,3,1.5,4.51936,-192.808
8,3,1.5,4.60194,-221.008
9,3,1.5,4.65801,-249.208
10,3,1.5,4.69149,-277.407
11,3,1.5,4.70894,-305.605
12,3,1.5,4.72102,-333.804
13,3,1.5,4.72532,-362.002
14,3,1.5,4.7329,-390.201
15,3,1.5,4.73551,-418.4
16,3,1.5,4.74004,-446.598
1,1,1.5,0.000518836,-23.797
2,1,1.5,0.0266167,-51.5098
3,1,1.5,3.44966,-79.9424
4,1,1.5,4.24908,-108.203
5,1,1.5,4.55627,-136.415
6,1,1.5,4.67233,-164.615
7,1,1.5,4.71869,-192.813
8,1,1.5,4.73197,-221.01
9,1,1.5,4.7352,-249.209
10,1,1.5,4.7359,-277.407
11,1,1.5,4.73707,-305.606
12,1,1.5,4.74197,-333.804
13,1,1.5,4.73896,-362.003
14,1,1.5,4.74229,-390.201
15,1,1.5,4.74039,-418.4
16,1,1.5,4.74264,-446.598
1,1,2,1.48668,-14.5839
2,1,2,5.20004,-34.2712
3,1,2,6.9561,-53.2987
4,1,2,8.0505,-72.1245
5,1,2,8.7444,-90.8763
6,1,2,9.17197,-109.603
7,1,2,9.42593,-128.326
8,1,2,9.56673,-147.052
9,1,2,9.64298,-165.785
10,1,2,9.68224,-184.523
11,1,2,9.70043,-203.265
12,1,2,9.70813,-222.01
13,1,2,9.72662,-240.758
14,1,2,9.72878,-259.504
15,1,2,9.71281,-278.252
16,1,2,9.73851,-297.001
1,3,2,2.47727,-14.0873
2,3,2,4.10041,-33.644
3,3,2,5.24094,-52.7264
4,3,2,6.30141,-71.6764
5,3,2,7.08675,-90.5529
6,3,2,7.76263,-109.383
7,3,2,8.24712,-128.183
8,3,2,8.64931,-146.964
9,3,2,8.93366,-165.733
10,3,2,9.15279,-184.492
11,3,2,9.30212,-203.247
12,3,2,9.43513,-222.001
13,3,2,9.50687,-240.751
14,3,2,9.58098,-259.502
15,3,2,9.6255,-278.251
16,3,2,9.651,-296.999
1,3,2.1,2.52377,-12.3533
2,3,2.1,4.4585,-30.1803
3,3,2.1,5.80302,-47.489
4,3,2.1,7.16119,-64.6544
5,3,2.1,8.19802,-81.7319
6,3,2.1,9.16656,-98.7453
7,3,2.1,9.91762,-115.719
8,3,2.1,10.6007,-132.66
9,3,2.1,11.1242,-149.577
10,3,2.1,11.5962,-166.478
11,3,2.1,11.9559,-183.367
12,3,2.1,12.2736,-200.247
13,3,2.1,12.5234,-217.121
14,3,2.1,12.7638,-233.994
15,3,2.1,12.9278,-250.86
16,3,2.1,13.0796,-267.725
1,1,2.1,2.61107,-13.2275
2,1,2.1,6.05132,-31.1527
3,1,2.1,8.08134,-48.4074
4,1,2.1,9.54071,-65.443
5,1,2.1,10.6371,-82.3814
6,1,2.1,11.4667,-99.2692
7,1,2.1,12.0916,-116.13
8,1,2.1,12.5535,-132.977
9,1,2.1,12.8906,-149.819
10,1,2.1,13.1245,-166.658
11,1,2.1,13.2879,-183.499
12,1,2.1,13.3968,-200.342
13,1,2.1,13.4716,-217.189
14,1,2.1,13.5099,-234.038
15,1,2.1,13.5426,-250.89
16,1,2.1,13.5484,-267.743
