su -0.989419 (-0.180097,0.000000) (0.254701,0.000000) (-0.180097,0.000000) (-0.266400,0.000000) (-0.050722,0.000000) (0.110350,0.000000) (0.021007,0.000000) (0.110350,0.000000) (0.021007,0.000000) (-0.266400,0.000000) (-0.050722,0.000000) (0.222450,0.000000) (-0.314599,0.000000) (0.222450,0.000000) (0.222455,0.000000) (-0.314593,0.000000) (0.222455,0.000000) (-0.050708,0.000000) (-0.266390,0.000000) (0.021007,0.000000) (0.110339,0.000000) (0.021007,0.000000) (0.110339,0.000000) (-0.050708,0.000000) (-0.266390,0.000000) (-0.180109,0.000000) (0.254707,0.000000) (-0.180109,0.000000)
sd -0.989419 (0.180109,0.000000) (-0.254707,0.000000) (0.180109,0.000000) (0.266390,0.000000) (0.050708,0.000000) (-0.110339,0.000000) (-0.021007,0.000000) (-0.110339,0.000000) (-0.021007,0.000000) (0.266390,0.000000) (0.050708,0.000000) (-0.222455,0.000000) (0.314593,0.000000) (-0.222455,0.000000) (-0.222450,0.000000) (0.314599,0.000000) (-0.222450,0.000000) (0.050722,0.000000) (0.266400,0.000000) (-0.021007,0.000000) (-0.110350,0.000000) (-0.021007,0.000000) (-0.110350,0.000000) (0.050722,0.000000) (0.266400,0.000000) (0.180097,0.000000) (-0.254701,0.000000) (0.180097,0.000000)
sd -0.552486 (-0.281431,0.000000) (-0.000000,0.000000) (0.281431,0.000000) (-0.099151,0.000000) (0.211565,0.000000) (-0.099144,0.000000) (0.211571,0.000000) (0.099144,0.000000) (-0.211571,0.000000) (0.099151,0.000000) (-0.211565,0.000000) (0.248219,0.000000) (0.000000,0.000000) (-0.248219,0.000000) (-0.248231,0.000000) (0.000000,0.000000) (0.248231,0.000000) (-0.211566,0.000000) (0.099151,0.000000) (-0.211560,0.000000) (0.099158,0.000000) (0.211560,0.000000) (-0.099158,0.000000) (0.211566,0.000000) (-0.099151,0.000000) (0.281428,0.000000) (-0.000000,0.000000) (-0.281428,0.000000)
su -0.552486 (0.281428,0.000000) (-0.000000,0.000000) (-0.281428,0.000000) (0.099151,0.000000) (-0.211566,0.000000) (0.099159,0.000000) (-0.211560,0.000000) (-0.099159,0.000000) (0.211560,0.000000) (-0.099151,0.000000) (0.211566,0.000000) (-0.248231,0.000000) (0.000000,0.000000) (0.248231,0.000000) (0.248219,0.000000) (0.000000,0.000000) (-0.248219,0.000000) (0.211565,0.000000) (-0.099151,0.000000) (0.211571,0.000000) (-0.099144,0.000000) (-0.211571,0.000000) (0.099144,0.000000) (-0.211565,0.000000) (0.099151,0.000000) (-0.281431,0.000000) (-0.000000,0.000000) (0.281431,0.000000)
sd 0.870948 (0.263553,0.000000) (-0.372720,0.000000) (0.263553,0.000000) (0.079809,0.000000) (-0.249392,0.000000) (-0.033055,0.000000) (0.103302,0.000000) (-0.033055,0.000000) (0.103302,0.000000) (0.079809,0.000000) (-0.249392,0.000000) (-0.124051,0.000000) (0.175434,0.000000) (-0.124051,0.000000) (0.124078,0.000000) (-0.175474,0.000000) (0.124078,0.000000) (0.249346,0.000000) (-0.079831,0.000000) (-0.103282,0.000000) (0.033070,0.000000) (-0.103282,0.000000) (0.033070,0.000000) (0.249346,0.000000) (-0.079831,0.000000) (-0.263509,0.000000) (0.372659,0.000000) (-0.263509,0.000000)
su 0.870948 (0.263509,0.000000) (-0.372659,0.000000) (0.263509,0.000000) (0.079831,0.000000) (-0.249346,0.000000) (-0.033070,0.000000) (0.103282,0.000000) (-0.033070,0.000000) (0.103282,0.000000) (0.079831,0.000000) (-0.249346,0.000000) (-0.124078,0.000000) (0.175474,0.000000) (-0.124078,0.000000) (0.124051,0.000000) (-0.175434,0.000000) (0.124051,0.000000) (0.249392,0.000000) (-0.079809,0.000000) (-0.103302,0.000000) (0.033055,0.000000) (-0.103302,0.000000) (0.033055,0.000000) (0.249392,0.000000) (-0.079809,0.000000) (-0.263553,0.000000) (0.372720,0.000000) (-0.263553,0.000000)
sd 1.82905 (0.263509,0.000000) (-0.372659,0.000000) (0.263509,0.000000) (-0.079831,0.000000) (-0.249346,0.000000) (0.033070,0.000000) (0.103282,0.000000) (0.033070,0.000000) (0.103282,0.000000) (-0.079831,0.000000) (-0.249346,0.000000) (0.124078,0.000000) (-0.175474,0.000000) (0.124078,0.000000) (0.124051,0.000000) (-0.175434,0.000000) (0.124051,0.000000) (-0.249392,0.000000) (-0.079809,0.000000) (0.103302,0.000000) (0.033055,0.000000) (0.103302,0.000000) (0.033055,0.000000) (-0.249392,0.000000) (-0.079809,0.000000) (0.263553,0.000000) (-0.372720,0.000000) (0.263553,0.000000)
su 1.82905 (0.263553,0.000000) (-0.372720,0.000000) (0.263553,0.000000) (-0.079809,0.000000) (-0.249392,0.000000) (0.033055,0.000000) (0.103302,0.000000) (0.033055,0.000000) (0.103302,0.000000) (-0.079809,0.000000) (-0.249392,0.000000) (0.124051,0.000000) (-0.175434,0.000000) (0.124051,0.000000) (0.124078,0.000000) (-0.175474,0.000000) (0.124078,0.000000) (-0.249346,0.000000) (-0.079831,0.000000) (0.103282,0.000000) (0.033070,0.000000) (0.103282,0.000000) (0.033070,0.000000) (-0.249346,0.000000) (-0.079831,0.000000) (0.263509,0.000000) (-0.372659,0.000000) (0.263509,0.000000)
sd 3.25249 (0.281428,0.000000) (-0.000000,0.000000) (-0.281428,0.000000) (-0.099151,0.000000) (-0.211566,0.000000) (-0.099159,0.000000) (-0.211560,0.000000) (0.099159,0.000000) (0.211560,0.000000) (0.099151,0.000000) (0.211566,0.000000) (0.248231,0.000000) (-0.000000,0.000000) (-0.248231,0.000000) (0.248219,0.000000) (0.000000,0.000000) (-0.248219,0.000000) (-0.211565,0.000000) (-0.099151,0.000000) (-0.211571,0.000000) (-0.099144,0.000000) (0.211571,0.000000) (0.099144,0.000000) (0.211565,0.000000) (0.099151,0.000000) (0.281431,0.000000) (0.000000,0.000000) (-0.281431,0.000000)
su 3.25249 (-0.281431,0.000000) (-0.000000,0.000000) (0.281431,0.000000) (0.099151,0.000000) (0.211565,0.000000) (0.099144,0.000000) (0.211571,0.000000) (-0.099144,0.000000) (-0.211571,0.000000) (-0.099151,0.000000) (-0.211565,0.000000) (-0.248219,0.000000) (-0.000000,0.000000) (0.248219,0.000000) (-0.248231,0.000000) (0.000000,0.000000) (0.248231,0.000000) (0.211566,0.000000) (0.099151,0.000000) (0.211560,0.000000) (0.099158,0.000000) (-0.211560,0.000000) (-0.099158,0.000000) (-0.211566,0.000000) (-0.099151,0.000000) (-0.281428,0.000000) (0.000000,0.000000) (0.281428,0.000000)
