value0, value1, value2, value3, value4, value5, value6, value7
-5.54841, -4.42753, -2.81936, -1.22663, 5.54663, 7.13936, 8.74753, 9.86841
-5.54644, -4.42565, -2.81753, -1.22472, 5.54472, 7.13753, 8.74565, 9.86644
-5.54317, -4.42251, -2.81448, -1.22153, 5.54153, 7.13448, 8.74251, 9.86317
-5.53858, -4.41811, -2.8102, -1.21708, 5.53708, 7.1302, 8.73811, 9.85858
-5.53269, -4.41247, -2.80471, -1.21135, 5.53135, 7.12471, 8.73246, 9.85269
-5.5255, -4.40556, -2.79801, -1.20435, 5.52435, 7.11801, 8.72556, 9.8455
-5.517, -4.39742, -2.79009, -1.19609, 5.51609, 7.11009, 8.71742, 9.837
-5.5072, -4.38802, -2.78096, -1.18656, 5.50656, 7.10096, 8.70802, 9.8272
-5.4961, -4.37738, -2.77062, -1.17577, 5.49577, 7.09062, 8.69738, 9.8161
-5.4837, -4.3655, -2.75908, -1.16373, 5.48373, 7.07908, 8.6855, 9.8037
-5.47001, -4.35239, -2.74634, -1.15043, 5.47043, 7.06634, 8.67238, 9.79001
-5.45504, -4.33804, -2.73241, -1.13588, 5.45588, 7.05241, 8.65804, 9.77504
-5.43877, -4.32246, -2.71729, -1.12009, 5.44009, 7.03729, 8.64246, 9.75877
-5.42123, -4.30567, -2.701, -1.10306, 5.42306, 7.021, 8.62567, 9.74123
-5.40241, -4.28765, -2.68352, -1.0848, 5.4048, 7.00352, 8.60765, 9.72241
-5.38232, -4.26843, -2.66488, -1.06531, 5.38531, 6.98488, 8.58843, 9.70232
-5.36097, -4.248, -2.64508, -1.04461, 5.36461, 6.96508, 8.568, 9.68097
-5.33835, -4.22638, -2.62412, -1.02269, 5.34269, 6.94412, 8.54638, 9.65835
-5.31448, -4.20356, -2.60203, -0.999568, 5.31957, 6.92202, 8.52356, 9.63448
-5.28937, -4.17957, -2.57879, -0.975249, 5.29525, 6.89879, 8.49956, 9.60937
-5.26301, -4.15439, -2.55444, -0.949744, 5.26974, 6.87444, 8.47439, 9.58301
-5.23542, -4.12806, -2.52896, -0.92306, 5.24306, 6.84896, 8.44806, 9.55542
-5.20661, -4.10056, -2.50239, -0.895209, 5.21521, 6.82239, 8.42056, 9.52661
-5.17657, -4.07192, -2.47472, -0.866199, 5.1862, 6.79472, 8.39192, 9.49657
-5.14533, -4.04214, -2.44598, -0.836041, 5.15604, 6.76598, 8.36214, 9.46533
-5.11288, -4.01124, -2.41616, -0.804748, 5.12475, 6.73616, 8.33124, 9.43288
-5.07925, -3.97922, -2.38529, -0.772331, 5.09233, 6.70529, 8.29922, 9.39925
-5.04443, -3.94609, -2.35339, -0.738802, 5.0588, 6.67339, 8.26609, 9.36443
-5.00843, -3.91187, -2.32045, -0.704175, 5.02418, 6.64045, 8.23187, 9.32843
-4.97127, -3.87657, -2.28651, -0.668464, 4.98846, 6.60651, 8.19657, 9.29127
-4.93296, -3.8402, -2.25157, -0.631682, 4.95168, 6.57157, 8.1602, 9.25296
-4.89351, -3.80277, -2.21565, -0.593846, 4.91385, 6.53565, 8.12277, 9.21351
-4.85292, -3.76431, -2.17878, -0.554971, 4.87497, 6.49878, 8.08431, 9.17292
-4.81121, -3.72482, -2.14096, -0.515073, 4.83507, 6.46096, 8.04482, 9.13121
-4.76839, -3.68431, -2.10222, -0.47417, 4.79417, 6.42222, 8.00431, 9.08839
-4.72447, -3.64281, -2.06258, -0.432281, 4.75228, 6.38258, 7.96281, 9.04447
-4.67947, -3.60032, -2.02206, -0.389425, 4.70943, 6.34206, 7.92032, 8.99947
-4.6334, -3.55687, -1.98068, -0.345622, 4.66562, 6.30068, 7.87687, 8.9534
-4.58626, -3.51248, -1.93846, -0.300892, 4.62089, 6.25846, 7.83248, 8.90626
-4.53808, -3.46715, -1.89543, -0.25526, 4.57526, 6.21543, 7.78715, 8.85808
-4.48887, -3.42091, -1.85162, -0.208747, 4.52875, 6.17162, 7.74091, 8.80887
-4.43863, -3.37377, -1.80704, -0.161379, 4.48138, 6.12704, 7.69377, 8.75863
-4.3874, -3.32577, -1.76173, -0.113183, 4.43318, 6.08173, 7.64577, 8.70739
-4.33517, -3.2769, -1.71572, -0.0641852, 4.38419, 6.03572, 7.5969, 8.65517
-4.28196, -3.22721, -1.66903, -0.0144161, 4.33442, 5.98903, 7.54721, 8.60196
-4.2278, -3.1767, -1.6217, 0.0360933, 4.28391, 5.9417, 7.4967, 8.5478
-4.1727, -3.12541, -1.57376, 0.0873096, 4.23269, 5.89376, 7.44541, 8.4927
-4.11666, -3.07335, -1.52526, 0.139197, 4.1808, 5.84525, 7.39335, 8.43666
-4.05972, -3.02054, -1.47621, 0.191718, 4.12828, 5.79621, 7.34054, 8.37972
-4.00188, -2.96702, -1.42667, 0.244832, 4.07517, 5.74667, 7.28702, 8.32188
