value0, value1, value2, value3, value4, value5, value6, value7
-6.91786, -5.82423, -4.23816, -2.63179, 2.63179, 4.23816, 5.82423, 6.91786
-6.87396, -5.78268, -4.19823, -2.58951, 2.58951, 4.19823, 5.78268, 6.87396
-6.82898, -5.74016, -4.15741, -2.54623, 2.54623, 4.15741, 5.74016, 6.82898
-6.78292, -5.69666, -4.11572, -2.50198, 2.50198, 4.11572, 5.69666, 6.78292
-6.73581, -5.65222, -4.07318, -2.45677, 2.45677, 4.07318, 5.65222, 6.73581
-6.68765, -5.60685, -4.02982, -2.41062, 2.41062, 4.02982, 5.60685, 6.68765
-6.63846, -5.56056, -3.98565, -2.36355, 2.36355, 3.98565, 5.56056, 6.63846
-6.58825, -5.51338, -3.94072, -2.31558, 2.31558, 3.94072, 5.51338, 6.58825
-6.53703, -5.46533, -3.89504, -2.26674, 2.26674, 3.89504, 5.46533, 6.53703
-6.48483, -5.41642, -3.84865, -2.21705, 2.21705, 3.84865, 5.41642, 6.48483
-6.43165, -5.36669, -3.80157, -2.16653, 2.16653, 3.80157, 5.36669, 6.43165
-6.37752, -5.31614, -3.75383, -2.11522, 2.11522, 3.75383, 5.31614, 6.37752
-6.32244, -5.2648, -3.70548, -2.06312, 2.06312, 3.70548, 5.2648, 6.32244
-6.26644, -5.2127, -3.65654, -2.01028, 2.01028, 3.65654, 5.2127, 6.26644
-6.20952, -5.15985, -3.60706, -1.95673, 1.95673, 3.60706, 5.15985, 6.20952
-6.15172, -5.10629, -3.55706, -1.90249, 1.90249, 3.55706, 5.10629, 6.15172
-6.09304, -5.05205, -3.5066, -1.84759, 1.84759, 3.5066, 5.05205, 6.09304
-6.0335, -4.99714, -3.45573, -1.79209, 1.79209, 3.45573, 4.99714, 6.0335
-5.97312, -4.94159, -3.40447, -1.736, 1.736, 3.40447, 4.94159, 5.97312
-5.91192, -4.88544, -3.3529, -1.67937, 1.67937, 3.3529, 4.88544, 5.91192
-5.84992, -4.82872, -3.30105, -1.62225, 1.62225, 3.30105, 4.82872, 5.84992
