value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-7.57143, -6.32831, -6.232, -4.88964, -4.82198, -4.39149, -3.49523, -3.24482, -2.7, -2.27243, -1.07913, -0.539735, -5.32672e-17, 1.10205, 2.3954, 2.7, 3.2405, 3.66166, 4.5219, 4.56241, 5.52803, 6.13726, 6.62348, 7.0935
-7.57683, -6.31259, -6.23752, -4.87322, -4.82792, -4.41114, -3.47843, -3.26128, -2.7, -2.27103, -1.07355, -0.545513, -4.87256e-15, 1.10108, 2.40076, 2.7, 3.24744, 3.66027, 4.50935, 4.57092, 5.51834, 6.14286, 6.62197, 7.09603
-7.58211, -6.29683, -6.24292, -4.85672, -4.83373, -4.43079, -3.46156, -3.27785, -2.7, -2.27019, -1.06805, -0.55086, -5.24324e-16, 1.09969, 2.40652, 2.7, 3.25422, 3.6589, 4.49681, 4.57953, 5.50858, 6.1484, 6.62043, 7.09853
-7.58728, -6.28105, -6.24822, -4.84014, -4.83942, -4.45043, -3.44462, -3.29452, -2.7, -2.26993, -1.06262, -0.555777, -1.94178e-16, 1.0979, 2.41267, 2.7, 3.26085, 3.65756, 4.4843, 4.58822, 5.49873, 6.15388, 6.61889, 7.101
-7.59234, -6.26523, -6.2534, -4.84498, -4.8235, -4.47004, -3.42761, -3.3113, -2.7, -2.27024, -1.05728, -0.560265, -9.21004e-16, 1.09573, 2.41919, 2.7, 3.26731, 3.65623, 4.47183, 4.59701, 5.48881, 6.1593, 6.61734, 7.10344
-7.59728, -6.25847, -6.24939, -4.85041, -4.80679, -4.48962, -3.41054, -3.32817, -2.7, -2.27112, -1.05203, -0.564328, -1.8551e-17, 1.09319, 2.42604, 2.7, 3.27361, 3.65493, 4.45941, 4.60588, 5.47881, 6.16465, 6.61578, 7.10584
-7.60211, -6.26343, -6.23352, -4.85572, -4.79, -4.50916, -3.39341, -3.34513, -2.7, -2.27259, -1.04686, -0.56797, -1.93011e-15, 1.09032, 2.43322, 2.7, 3.27975, 3.65365, 4.44704, 4.61483, 5.46874, 6.16993, 6.61421, 7.10821
-7.60682, -6.26827, -6.21765, -4.86089, -4.77316, -4.52865, -3.37622, -3.36218, -2.7, -2.27462, -1.04178, -0.571198, 3.05557e-15, 1.08711, 2.4407, 2.7, 3.28573, 3.65239, 4.43474, 4.62387, 5.4586, 6.17515, 6.61263, 7.11054
-7.61142, -6.273, -6.20176, -4.86594, -4.75625, -4.54808, -3.37932, -3.35899, -2.7, -2.27724, -1.0368, -0.57402, 9.74839e-16, 1.08361, 2.44845, 2.7, 3.29153, 3.65116, 4.42252, 4.63299, 5.44839, 6.18029, 6.61105, 7.11283
-7.6159, -6.27761, -6.18587, -4.87087, -4.73927, -4.56745, -3.39654, -3.3417, -2.7, -2.28042, -1.03192, -0.576445, -1.02322e-15, 1.07983, 2.45645, 2.7, 3.29717, 3.64995, 4.41039, 4.64218, 5.43813, 6.18535, 6.60946, 7.11508
-7.62027, -6.2821, -6.16998, -4.87566, -4.72224, -4.58675, -3.41383, -3.32437, -2.7, -2.28416, -1.02714, -0.578485, -2.68568e-15, 1.0758, 2.46467, 2.7, 3.30263, 3.64877, 4.39836, 4.65145, 5.4278, 6.19033, 6.60787, 7.11729
-7.62452, -6.28648, -6.1541, -4.88032, -4.70515, -4.60596, -3.4312, -3.30699, -2.7, -2.28847, -1.02246, -0.58015, -6.53351e-16, 1.07153, 2.4731, 2.7, 3.30793, 3.64762, 4.38643, 4.6608, 5.41742, 6.19524, 6.60628, 7.11945
-7.62865, -6.29074, -6.13824, -4.88486, -4.688, -4.62508, -3.44863, -3.28957, -2.7, -2.29332, -1.01789, -0.581455, -3.3009e-16, 1.06706, 2.4817, 2.7, 3.31305, 3.64649, 4.37463, 4.67022, 5.40699, 6.20005, 6.6047, 7.12157
-7.63266, -6.29488, -6.1224, -4.88927, -4.6708, -4.6441, -3.46613, -3.27212, -2.7, -2.29872, -1.01343, -0.582414, 1.48669e-15, 1.06239, 2.49045, 2.7, 3.318, 3.64539, 4.36296, 4.67971, 5.3965, 6.20478, 6.60311, 7.12364
-7.63656, -6.29891, -6.1066, -4.89355, -4.66301, -4.65354, -3.48369, -3.25463, -2.7, -2.30465, -1.00908, -0.583043, 2.5601e-15, 1.05756, 2.49932, 2.7, 3.32277, 3.64432, 4.35143, 4.68926, 5.38597, 6.20942, 6.60153, 7.12566
-7.64034, -6.30281, -6.09083, -4.8977, -4.68179, -4.63624, -3.50131, -3.23712, -2.7, -2.31111, -1.00484, -0.583359, 8.44724e-16, 1.0526, 2.50829, 2.7, 3.32737, 3.64328, 4.34006, 4.69889, 5.37539, 6.21397, 6.59996, 7.12764
-7.644, -6.30659, -6.07512, -4.90172, -4.70043, -4.61888, -3.51898, -3.21958, -2.7, -2.31808, -1.00071, -0.58338, -2.87334e-15, 1.04751, 2.51734, 2.7, 3.33179, 3.64227, 4.32886, 4.70858, 5.36477, 6.21841, 6.5984, 7.12956
-7.64755, -6.31026, -6.05947, -4.90562, -4.71893, -4.60148, -3.5367, -3.20201, -2.7, -2.32556, -0.996704, -0.583123, 1.90273e-15, 1.04233, 2.52643, 2.7, 3.33604, 3.64128, 4.31784, 4.71832, 5.35411, 6.22276, 6.59684, 7.13143
-7.65097, -6.3138, -6.04389, -4.90939, -4.73726, -4.58404, -3.55447, -3.18442, -2.7, -2.33352, -0.992815, -0.582609, 1.36376e-15, 1.03707, 2.53555, 2.7, 3.34011, 3.64033, 4.30702, 4.72813, 5.34342, 6.22701, 6.5953, 7.13325
-7.65428, -6.31722, -6.02841, -4.91303, -4.75541, -4.56655, -3.57228, -3.16682, -2.7, -2.34196, -0.989047, -0.581857, -9.08739e-16, 1.03177, 2.54466, 2.7, 3.344, 3.6394, 4.2964, 4.738, 5.33269, 6.23115, 6.59378, 7.13501
-7.65747, -6.32052, -6.01302, -4.91655, -4.77337, -4.54903, -3.59013, -3.1492, -2.7, -2.35086, -0.985402, -0.580888, 8.78331e-19, 1.02644, 2.55374, 2.7, 3.34772, 3.63851, 4.28601, 4.74791, 5.32194, 6.23518, 6.59227, 7.13672
-7.66054, -6.3237, -5.99775, -4.91994, -4.79112, -4.53146, -3.60802, -3.13157, -2.7, -2.36021, -0.981881, -0.579723, 5.0852e-16, 1.0211, 2.56276, 2.7, 3.35126, 3.63765, 4.27585, 4.75788, 5.31116, 6.2391, 6.59079, 7.13838
-7.66349, -6.32676, -5.98262, -4.92321, -4.80863, -4.51387, -3.62593, -3.11393, -2.7, -2.37, -0.978486, -0.578383, 2.13601e-16, 1.01577, 2.5717, 2.7, 3.35462, 3.63682, 4.26594, 4.7679, 5.30035, 6.24291, 6.58933, 7.13997
-7.66632, -6.32969, -5.96764, -4.92637, -4.82588, -4.49624, -3.64387, -3.09629, -2.7, -2.38021, -0.975218, -0.576889, 1.62481e-17, 1.01048, 2.58053, 2.7, 3.35781, 3.63602, 4.25629, 4.77797, 5.28953, 6.2466, 6.58789, 7.14151
-7.66903, -6.33251, -5.95283, -4.92941, -4.84286, -4.47859, -3.66183, -3.07865, -2.7, -2.39083, -0.972079, -0.575263, -3.84811e-15, 1.00524, 2.58923, 2.7, 3.36083, 3.63525, 4.24691, 4.78807, 5.2787, 6.25016, 6.58648, 7.14299
-7.67163, -6.33519, -5.93822, -4.93234, -4.85951, -4.46092, -3.67981, -3.06102, -2.7, -2.40184, -0.96907, -0.573526, -7.06096e-17, 1.00008, 2.59777, 2.7, 3.36368, 3.63452, 4.23783, 4.79822, 5.26785, 6.25361, 6.58511, 7.14441
-7.6741, -6.33776, -5.92383, -4.93519, -4.8758, -4.44323, -3.6978, -3.04339, -2.7, -2.41323, -0.966193, -0.571699, 2.34954e-16, 0.995017, 2.60613, 2.7, 3.36636, 3.63381, 4.22905, 4.8084, 5.257, 6.25692, 6.58377, 7.14576
-7.67645, -6.3402, -5.90969, -4.93799, -4.89167, -4.42552, -3.71579, -3.02578, -2.7, -2.42498, -0.963448, -0.569805, -1.37797e-15, 0.990065, 2.61427, 2.7, 3.36887, 3.63314, 4.22059, 4.81861, 5.24615, 6.2601, 6.58247, 7.14706
