value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-5.2066, -4.35268, -4.10056, -3.29328, -2.50239, -1.73113, -1.24163, -0.895207, -0.75244, -0.0857305, -0.0806025, 1.51453, 2.80548, 4.4006, 4.40573, 5.07244, 5.21521, 5.56163, 6.05113, 6.82239, 7.61328, 8.42056, 8.67268, 9.5266
-5.21635, -4.33517, -4.10985, -3.2769, -2.51137, -1.71571, -1.26573, -0.90462, -0.764946, -0.0778501, -0.0641827, 1.51796, 2.80204, 4.38418, 4.39785, 5.08495, 5.22462, 5.58573, 6.03571, 6.83137, 7.5969, 8.42985, 8.65517, 9.53635
-5.22595, -4.31754, -4.11902, -3.26043, -2.52023, -1.70023, -1.2899, -0.913904, -0.777747, -0.0705003, -0.0476772, 1.52146, 2.79854, 4.36768, 4.3905, 5.09775, 5.2339, 5.6099, 6.02023, 6.84023, 7.58043, 8.43902, 8.63754, 9.54595
-5.23542, -4.29981, -4.12806, -3.24386, -2.52896, -1.68466, -1.31412, -0.923059, -0.790835, -0.0636862, -0.0310871, 1.52502, 2.79498, 4.35109, 4.38369, 5.11083, 5.24306, 5.63412, 6.00466, 6.84896, 7.56386, 8.44806, 8.61981, 9.55542
-5.24475, -4.28196, -4.13696, -3.22721, -2.53758, -1.66903, -1.33839, -0.932084, -0.804203, -0.0574122, -0.0144136, 1.52862, 2.79138, 4.33441, 4.37741, 5.1242, 5.25208, 5.65839, 5.98903, 6.85758, 7.54721, 8.45696, 8.60196, 9.56475
-5.25395, -4.26402, -4.14574, -3.21046, -2.54607, -1.65332, -1.36271, -0.940978, -0.817843, -0.0516821, 0.00234227, 1.53226, 2.78774, 4.31766, 4.37168, 5.13784, 5.26098, 5.68271, 5.97332, 6.86607, 7.53046, 8.46574, 8.58402, 9.57395
-5.26301, -4.24596, -4.15439, -3.19363, -2.55443, -1.63754, -1.38707, -0.949742, -0.831749, -0.0464989, 0.0191792, 1.53593, 2.78407, 4.30082, 4.3665, 5.15175, 5.26974, 5.70707, 5.95754, 6.87443, 7.51363, 8.47439, 8.56596, 9.58301
-5.27193, -4.2278, -4.16291, -3.1767, -2.56268, -1.6217, -1.41148, -0.958376, -0.845914, -0.0418648, 0.0360959, 1.5396, 2.7804, 4.2839, 4.36186, 5.16591, 5.27838, 5.73148, 5.9417, 6.88268, 7.4967, 8.48291, 8.5478, 9.59193
-5.28072, -4.20954, -4.1713, -3.15969, -2.5708, -1.60579, -1.43593, -0.966878, -0.86033, -0.0377813, 0.0530912, 1.54327, 2.77673, 4.26691, 4.35778, 5.18033, 5.28688, 5.75593, 5.92579, 6.8908, 7.47969, 8.4913, 8.52954, 9.60072
-5.28937, -4.19117, -4.17956, -3.14259, -2.57879, -1.58981, -1.46042, -0.975248, -0.87499, -0.0342491, 0.0701637, 1.54692, 2.77308, 4.24984, 4.35425, 5.19499, 5.29525, 5.78042, 5.90981, 6.89879, 7.46259, 8.49956, 8.51117, 9.60937
-5.29788, -4.18769, -4.1727, -3.12541, -2.58666, -1.57376, -1.48494, -0.983486, -0.889888, -0.031268, 0.0873123, 1.55054, 2.76946, 4.23269, 4.35127, 5.20989, 5.30349, 5.80494, 5.89376, 6.90666, 7.44541, 8.4927, 8.50769, 9.61788
-5.30625, -4.19569, -4.15412, -3.10814, -2.59441, -1.55765, -1.5095, -0.991593, -0.905017, -0.0288372, 0.104535, 1.55411, 2.76589, 4.21546, 4.34884, 5.22502, 5.31159, 5.8295, 5.87765, 6.91441, 7.42814, 8.47412, 8.51569, 9.62625
