value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-7.40325, -6.41371, -6.28616, -5.34992, -4.68493, -3.78573, -3.5158, -3.10202, -2.96433, -2.19437, -2.14952, -0.0458374, 0.0458374, 2.14952, 2.19437, 2.96433, 3.10202, 3.5158, 3.78573, 4.68493, 5.34992, 6.28616, 6.41371, 7.40325
-7.41231, -6.39567, -6.29482, -5.33307, -4.69335, -3.76982, -3.54011, -3.11083, -2.97802, -2.18853, -2.13241, -0.0506289, 0.0506289, 2.13241, 2.18853, 2.97802, 3.11083, 3.54011, 3.76982, 4.69335, 5.33307, 6.29482, 6.39567, 7.41231
-7.42123, -6.37752, -6.30335, -5.31614, -4.70164, -3.75383, -3.56447, -3.11952, -2.99197, -2.18324, -2.11522, -0.0557409, 0.0557409, 2.11522, 2.18324, 2.99197, 3.11952, 3.56447, 3.75383, 4.70164, 5.31614, 6.30335, 6.37752, 7.42123
-7.43001, -6.35926, -6.31175, -5.29911, -4.70981, -3.73778, -3.58887, -3.12807, -3.00617, -2.17848, -2.09794, -0.0611806, 0.0611806, 2.09794, 2.17848, 3.00617, 3.12807, 3.58887, 3.73778, 4.70981, 5.29911, 6.31175, 6.35926, 7.43001
-7.43865, -6.3409, -6.32002, -5.282, -4.71785, -3.72166, -3.61331, -3.13649, -3.02062, -2.17427, -2.08057, -0.0669541, 0.0669541, 2.08057, 2.17427, 3.02062, 3.13649, 3.61331, 3.72166, 4.71785, 5.282, 6.32002, 6.3409, 7.43865
-7.44716, -6.32816, -6.32244, -5.2648, -4.72577, -3.70548, -3.63778, -3.14477, -3.03531, -2.1706, -2.06312, -0.0730673, 0.0730673, 2.06312, 2.1706, 3.03531, 3.14477, 3.63778, 3.70548, 4.72577, 5.2648, 6.32244, 6.32816, 7.44716
-7.45553, -6.33617, -6.30387, -5.24751, -4.73356, -3.68923, -3.66228, -3.15292, -3.05023, -2.16747, -2.04559, -0.079525, 0.079525, 2.04559, 2.16747, 3.05023, 3.15292, 3.66228, 3.68923, 4.73356, 5.24751, 6.30387, 6.33617, 7.45553
-7.46376, -6.34404, -6.28521, -5.23015, -4.74122, -3.68682, -3.67292, -3.16094, -3.06538, -2.1649, -2.02798, -0.0863314, 0.0863314, 2.02798, 2.1649, 3.06538, 3.16094, 3.67292, 3.68682, 4.74122, 5.23015, 6.28521, 6.34404, 7.46376
-7.47185, -6.35179, -6.26644, -5.2127, -4.74876, -3.71138, -3.65654, -3.16883, -3.08075, -2.16286, -2.01028, -0.0934898, 0.0934898, 2.01028, 2.16286, 3.08075, 3.16883, 3.65654, 3.71138, 4.74876, 5.2127, 6.26644, 6.35179, 7.47185
-7.47981, -6.3594, -6.24757, -5.19516, -4.75617, -3.73597, -3.6401, -3.17657, -3.09634, -2.16137, -1.99251, -0.101003, 0.101003, 1.99251, 2.16137, 3.09634, 3.17657, 3.6401, 3.73597, 4.75617, 5.19516, 6.24757, 6.3594, 7.47981
-7.48762, -6.36688, -6.22859, -5.17755, -4.76345, -3.76058, -3.62361, -3.18419, -3.11213, -2.16043, -1.97466, -0.108873, 0.108873, 1.97466, 2.16043, 3.11213, 3.18419, 3.62361, 3.76058, 4.76345, 5.17755, 6.22859, 6.36688, 7.48762
-7.4953, -6.37423, -6.20952, -5.15985, -4.7706, -3.78521, -3.60706, -3.19167, -3.12813, -2.16002, -1.95673, -0.117101, 0.117101, 1.95673, 2.16002, 3.12813, 3.19167, 3.60706, 3.78521, 4.7706, 5.15985, 6.20952, 6.37423, 7.4953
-7.50283, -6.38145, -6.19035, -5.14208, -4.77763, -3.80986, -3.59045, -3.19902, -3.14432, -2.16014, -1.93872, -0.125687, 0.125687, 1.93872, 2.16014, 3.14432, 3.19902, 3.59045, 3.80986, 4.77763, 5.14208, 6.19035, 6.38145, 7.50283
-7.51023, -6.38853, -6.17108, -5.12422, -4.78453, -3.83453, -3.57378, -3.20623, -3.1607, -2.1608, -1.92064, -0.134631, 0.134631, 1.92064, 2.1608, 3.1607, 3.20623, 3.57378, 3.83453, 4.78453, 5.12422, 6.17108, 6.38853, 7.51023
-7.51749, -6.39548, -6.15172, -5.10629, -4.79129, -3.85921, -3.55706, -3.2133, -3.17726, -2.16199, -1.90249, -0.143931, 0.143931, 1.90249, 2.16199, 3.17726, 3.2133, 3.55706, 3.85921, 4.79129, 5.10629, 6.15172, 6.39548, 7.51749
-7.5246, -6.4023, -6.13225, -5.08829, -4.79793, -3.8839, -3.54029, -3.22024, -3.19401, -2.16369, -1.88426, -0.153587, 0.153587, 1.88426, 2.16369, 3.19401, 3.22024, 3.54029, 3.8839, 4.79793, 5.08829, 6.13225, 6.4023, 7.5246
-7.53158, -6.40898, -6.11269, -5.0702, -4.80444, -3.90861, -3.52347, -3.22704, -3.21092, -2.16591, -1.86596, -0.163596, 0.163596, 1.86596, 2.16591, 3.21092, 3.22704, 3.52347, 3.90861, 4.80444, 5.0702, 6.11269, 6.40898, 7.53158
-7.53842, -6.41553, -6.09304, -5.05205, -4.81082, -3.93332, -3.5066, -3.23371, -3.228, -2.16864, -1.84759, -0.173955, 0.173955, 1.84759, 2.16864, 3.228, 3.23371, 3.5066, 3.93332, 4.81082, 5.05205, 6.09304, 6.41553, 7.53842
-7.54511, -6.42195, -6.07328, -5.03381, -4.81707, -3.95804, -3.48969, -3.24525, -3.24024, -2.17187, -1.82916, -0.184661, 0.184661, 1.82916, 2.17187, 3.24024, 3.24525, 3.48969, 3.95804, 4.81707, 5.03381, 6.07328, 6.42195, 7.54511
-7.55166, -6.42823, -6.05344, -5.01551, -4.82319, -3.98276, -3.47273, -3.26264, -3.24663, -2.17559, -1.81066, -0.195709, 0.195709, 1.81066, 2.17559, 3.24663, 3.26264, 3.47273, 3.98276, 4.82319, 5.01551, 6.05344, 6.42823, 7.55166
-7.55808, -6.43437, -6.0335, -4.99714, -4.82918, -4.00748, -3.45573, -3.28019, -3.25289, -2.1798, -1.79209, -0.207095, 0.207095, 1.79209, 2.1798, 3.25289, 3.28019, 3.45573, 4.00748, 4.82918, 4.99714, 6.0335, 6.43437, 7.55808
-7.56435, -6.44038, -6.01346, -4.97869, -4.83504, -4.03221, -3.43868, -3.29789, -3.259, -2.18449, -1.77345, -0.218813, 0.218813, 1.77345, 2.18449, 3.259, 3.29789, 3.43868, 4.03221, 4.83504, 4.97869, 6.01346, 6.44038, 7.56435
-7.57048, -6.44626, -5.99334, -4.96017, -4.84077, -4.05693, -3.4216, -3.31572, -3.26498, -2.18965, -1.75476, -0.230859, 0.230859, 1.75476, 2.18965, 3.26498, 3.31572, 3.4216, 4.05693, 4.84077, 4.96017, 5.99334, 6.44626, 7.57048
-7.57647, -6.452, -5.97312, -4.94159, -4.84636, -4.08166, -3.40447, -3.33369, -3.27083, -2.19526, -1.736, -0.243226, 0.243226, 1.736, 2.19526, 3.27083, 3.33369, 3.40447, 4.08166, 4.84636, 4.94159, 5.97312, 6.452, 7.57647
-7.58231, -6.4576, -5.95281, -4.92294, -4.85183, -4.10637, -3.38731, -3.35179, -3.27653, -2.20133, -1.71718, -0.255909, 0.255909, 1.71718, 2.20133, 3.27653, 3.35179, 3.38731, 4.10637, 4.85183, 4.92294, 5.95281, 6.4576, 7.58231
-7.58802, -6.46307, -5.93241, -4.90422, -4.85716, -4.13108, -3.37012, -3.37002, -3.2821, -2.20783, -1.69831, -0.2689, 0.2689, 1.69831, 2.20783, 3.2821, 3.37002, 3.37012, 4.13108, 4.85716, 4.90422, 5.93241, 6.46307, 7.58802
